id,object_id,field,old_value,new_value,created_at,created_by
100000,7000001,financeUuid,69a75643-a536-495c-abf7-13e9e4db1dcc,a8d40621-27d7-4525-b7bd-3177e9398bf9,2024-11-02 14:23:19 UTC,711782
100001,7000001,financeUuid,a8d40621-27d7-4525-b7bd-3177e9398bf9,5f41380f-4585-408f-b737-48caf2d12a67,2025-06-13 23:33:01 UTC,834078
100002,7000002,financeUuid,6ac4aef4-8c76-442c-b41e-389a5fbab2cb,007a80eb-3649-45b8-b047-8b29f5560097,2024-03-28 15:19:31 UTC,258442
100003,7000002,financeUuid,007a80eb-3649-45b8-b047-8b29f5560097,ab7beeae-07c2-4d37-bc60-26f37349e11c,2025-06-10 07:47:25 UTC,823078
100004,7000002,financeUuid,ab7beeae-07c2-4d37-bc60-26f37349e11c,4c5d5de3-20fd-42f3-b445-46cd99f8477c,2025-03-10 19:18:31 UTC,119236
100005,7000002,financeUuid,4c5d5de3-20fd-42f3-b445-46cd99f8477c,def72958-51d1-47f9-a961-5c5c6caf6eda,2025-06-10 06:58:18 UTC,295521
100006,7000002,financeUuid,def72958-51d1-47f9-a961-5c5c6caf6eda,9e0bc6e8-53e2-4863-965a-f930637f9fb5,2025-09-22 19:33:22 UTC,402157
100007,7000003,financeUuid,e55b077d-b39e-4599-88a4-b6369e3fddc2,c181f2dd-8077-45f4-9204-11fde51cf2c5,2025-04-19 04:22:23 UTC,259293
100008,7000003,financeUuid,c181f2dd-8077-45f4-9204-11fde51cf2c5,1d60aba4-303d-4f35-9ea6-ebc5dfb6a93b,2026-04-16 23:27:20 UTC,718205
100009,7000003,financeUuid,1d60aba4-303d-4f35-9ea6-ebc5dfb6a93b,19db4563-044a-413b-a1e0-986ce659f610,2026-01-05 21:23:20 UTC,410842
100010,7000003,financeUuid,19db4563-044a-413b-a1e0-986ce659f610,70b3a458-a245-4369-a2f7-33dce6df6872,2024-01-06 10:37:48 UTC,187179
100011,7000004,financeUuid,db06e6a0-80ee-41b5-a910-e26e8b163b07,954dee77-1a0d-4f25-9fb9-8be47f9475cd,2024-07-25 16:37:47 UTC,145938
100012,7000004,financeUuid,954dee77-1a0d-4f25-9fb9-8be47f9475cd,d0b34332-4397-48e9-b5cb-8b4e742eb48e,2024-11-23 03:26:57 UTC,800965
100013,7000004,financeUuid,d0b34332-4397-48e9-b5cb-8b4e742eb48e,e621db49-cc55-4486-b2c8-a9e2a29a187a,2025-08-21 03:55:14 UTC,739019
100014,7000005,financeUuid,97b49b8b-7446-490b-b1e5-d467378c72f7,f9cf3882-c402-4508-8d4c-ea96f1bac983,2025-03-02 17:14:06 UTC,753982
100015,7000005,financeUuid,f9cf3882-c402-4508-8d4c-ea96f1bac983,e27c2afd-6b99-426c-a87f-0b4b11e7bac4,2026-04-13 20:11:38 UTC,147998
100016,7000006,financeUuid,406fa9e0-022b-4d74-9962-1ed4a4b25e75,e88abdad-138b-4443-93c4-10ce67074334,2024-02-05 07:16:52 UTC,90874
100017,7000006,financeUuid,e88abdad-138b-4443-93c4-10ce67074334,98f050eb-fa90-4ed7-92b8-11fe94bddaac,2024-07-16 10:39:02 UTC,525006
100018,7000006,financeUuid,98f050eb-fa90-4ed7-92b8-11fe94bddaac,4b8c6c8a-50ba-4781-a84f-7756048c8148,2026-02-02 01:55:25 UTC,488523
100019,7000006,financeUuid,4b8c6c8a-50ba-4781-a84f-7756048c8148,8aad10f3-2138-4af2-b96f-519a3a950f9a,2024-03-29 11:05:20 UTC,166625
100020,7000007,financeUuid,18ed5503-ea5f-44a8-88ab-999eee0d2773,fb90cb9c-bce7-42e4-88c4-f709d5ff3f4e,2026-03-23 22:45:49 UTC,577295
100021,7000007,financeUuid,fb90cb9c-bce7-42e4-88c4-f709d5ff3f4e,db4a3fcb-df39-4e2f-b78b-6004b23b10cb,2026-01-20 12:11:07 UTC,911112
100022,7000007,financeUuid,db4a3fcb-df39-4e2f-b78b-6004b23b10cb,52a8b5ac-068c-4cb2-8bf3-2b0ea2beb1ca,2025-05-15 01:00:32 UTC,493014
100023,7000007,financeUuid,52a8b5ac-068c-4cb2-8bf3-2b0ea2beb1ca,2c69008c-7b39-44b4-ad7e-a0fc0f2c6b38,2026-02-28 16:04:12 UTC,774513
100024,7000008,financeUuid,ad98bf0a-f9be-4a39-8f54-4548f664c036,c9c41885-21cd-42e3-b087-691acc983664,2025-09-18 18:57:05 UTC,99505
100025,7000008,financeUuid,c9c41885-21cd-42e3-b087-691acc983664,a5a67028-fc72-4f73-b2f2-400a91ff49b4,2024-04-22 03:49:34 UTC,925656
100026,7000008,financeUuid,a5a67028-fc72-4f73-b2f2-400a91ff49b4,6e11600d-fdb5-489d-87c9-ba86211b18c3,2025-12-11 05:41:50 UTC,484046
100027,7000009,financeUuid,879ebc04-65e9-4133-bf48-621b21b10c33,1236cc14-e800-4886-aed6-9f3cf469cd58,2024-03-03 11:41:32 UTC,147719
100028,7000009,financeUuid,1236cc14-e800-4886-aed6-9f3cf469cd58,99d05261-3184-4776-ac4d-e863dfcaf9e4,2025-05-18 07:17:48 UTC,385779
100029,7000009,financeUuid,99d05261-3184-4776-ac4d-e863dfcaf9e4,747103e7-62b3-4e0e-a72c-1ed9a80a4eaa,2025-09-08 19:57:33 UTC,404133
100030,7000009,financeUuid,747103e7-62b3-4e0e-a72c-1ed9a80a4eaa,0c857439-bf6d-4edd-864d-1a2f8c899b51,2024-12-29 22:39:35 UTC,613238
100031,7000010,financeUuid,3addcfab-89c6-4f62-936f-1bdaed9bad37,42954a6d-5722-4c72-88af-845136ac1883,2025-11-19 01:35:22 UTC,550673
100032,7000010,financeUuid,42954a6d-5722-4c72-88af-845136ac1883,e181b5b8-d9a2-4b27-801c-d18086fa8839,2026-03-24 05:17:48 UTC,985881
100033,7000010,financeUuid,e181b5b8-d9a2-4b27-801c-d18086fa8839,97049173-31d6-4e42-ae17-e12b38976aab,2024-11-21 10:58:50 UTC,16132
100034,7000011,financeUuid,b9649277-ce98-466d-8c55-e4213fc18d82,72e4b1b4-3859-45d7-b309-ca3184a34bf4,2025-10-03 03:27:50 UTC,249263
100035,7000011,financeUuid,72e4b1b4-3859-45d7-b309-ca3184a34bf4,0734ee2d-fb60-4220-b6cb-b406401c7bb9,2026-04-27 01:30:46 UTC,873609
